product,grape,score,avg_price_liter
"Gran Vino Pazo  Barrantes Albarino, Rias Baixas",  Albariño  ,89.0,277.33
"Envinate 'Taganan'  Parcela Margalagua, Canary Islands",  Red Blend  ,93.0,424.0
"Ameztoi  Rubentis Rosado, Getariako Txakolina",  Hondarrabi Beltza  ,89.0,154.67
"Teso La Monja  'Victorino', Toro",  Tinta de Toro  ,93.0,326.67
"Familia  Nin-Ortiz 'Nit de Nin' Mas d'en Cacador, Priorat DOCa",  Carinena - Garnacha  ,93.0,628.0
"Vinedos de Paganos El  Puntido, Rioja DOCa",  Tempranillo  ,93.0,408.0
"Bodegas Ego Goru Verde - Goru  Organic, Jumilla",  Mourvedre (Monastrell)  ,88.0,73.33
"Artadi El Carretil, Alava",  Tempranillo  ,95.0,1100.0
"Pazo de Senorans  Albarino, Rias Baixas",  Albariño  ,89.0,122.67
"Nordes Atlantic Galician Gin,  Galicia",  Gin  ,90.0,212.0
"CVNE Vina Real Reserva  Especial, Rioja DOCa",  Tempranillo  ,94.0,1030.67
"Teso La Monja  'Alabaster', Toro",  Tinta de Toro  ,95.0,969.33
"Bodegas Borsao Tres  Picos Garnacha, Campo de Borja",  Grenache (Garnacha)  ,89.0,122.67
Dehesa La Granja Vino  de la Tierra de Castilla y Leon,  Tempranillo  ,88.0,97.33
"Clos  Mogador 'Manyetes' Vi de Vila Gratallops, Priorat DOCa",  Carignan (Carinena)  ,93.0,513.33
"Bodegas Valduero  'Valduero' Una Cepa, Ribera del Duero",  Tempranillo  ,90.0,244.0
"Bodegas Faustino VII, Rioja DOCa",  Tempranillo  ,86.0,65.33
"Sierra Cantabria  Finca El Bosque, Rioja DOCa",  Tempranillo  ,94.0,701.33
"Tinto  Pesquera Gran Reserva, Ribera del Duero",  Tempranillo  ,90,513.33
"Marques de Riscal XR Reserva,  Rioja DOCa",  Tempranillo  ,92,212.0
"Bodegas Riojanas Monte Real  Reserva, Rioja DOCa",  Tempranillo  ,89,196.0
"Bodegas Atalaya  'Alaya Tierra', Almansa",  Grenache (Garnacha)  ,91,178.67
"Marques de Caceres 'Gaudium',  Rioja DOCa",  Tempranillo  ,91,342.67
"Celler  Mas Doix 'Doix' Costers de Vinyes Velles, Priorat DOCa",  Carinena - Garnacha  ,93,668.0
"Bodegas Montecillo Gran Reserva,  Rioja DOCa",  Tempranillo  ,89,236.0
"Bodegas Protos Crianza,  Ribera del Duero",  Tempranillo  ,89,130.67
